Id,Vuosi,Kuukausi,Neljannes,PainoKk,PainoQ,VkonPv,RajaPiste,Hsatama,AsMaa,Alue,RajaAsDist,Kansal,Sukup,Ikaryhma,KestoPv,KestoYo,PkYot,Mk1Yot,Mk2Yot,Mk3Yot,MatKestoFlag,Kulkuvaline,KulkuvalineFlag,MatTyyp,MatTyypFlag,MatTark,OpKesto,MuutMaat,PkKunta,PkMaakunta,PkSuuralue,PkRyhma,Mk1Kunta,Mk1Maakunta,Mk1Suuralue,Mk1Ryhma,Mk2Kunta,Mk2Maakunta,Mk2Suuralue,Mk2Ryhma,Mk3Kunta,Mk3Maakunta,Mk3Suuralue,Mk3Ryhma,Majoitus,Pake,PakeA,PakePL,PakeMPS,PakePMM,SegLuonto,SegUrhei,SegHyvin,SegKult,SegKaupu,SegTapah,SegOstos,SegKierto,SegEiMit,Yli50kmSuom,Yli50Auto,Yli50Juna,Yli50Lento,Yli50Linja,Yli50Laiva,Yli50Taksi,EnsiVaraus,EnsiVarausKk,Seura,SeuraAlle7v,Seura8_15v,PalaaKesa,PalaaTalvi,EURYht,EURMaj,EURRav,EURPolt,EURLiik,EURKult,EURMuu,EURYhtPv,EURMajYo,EURRavPv,EURPoltPv,EURLiikPv,EURKultPv,EURMuuPv,EURMajYoFlag,EURRavPvFlag,EURPoltPvFlag,EURLiikPvFlag,EURKultPvFlag,EURMuuPvFlag,RahaEM,RahaKat,RahaKortti,CO2Matka,CO2Liik,CO2Viip,CO2Yht,PainoKkEURMaj,PainoKkEURRav,PainoKkEURPolt,PainoKkEURLiik,PainoKkEURKult,PainoKkEURMuu,PainoKkEURYht,PainoKkCO2,PainoKkYo,PainoKkPv,PainoQEURMaj,PainoQEURRav,PainoQEURPolt,PainoQEURLiik,PainoQEURKult,PainoQEURMuu,PainoQEURYht,PainoQCO2,PainoQYo,PainoQPv
2023031065,2023,3,,272.51203336,,7,2,,NL,127,2040.3910878,NL,2,3,8,7,7,,,,,2,,1,,1,,2,273,19,4,3,,,,,,,,,,,,,3,2,1,1,0,0,1,1,0,1,0,0,0,0,0,2,,,,,,,202302,1,2,,,3,4,1127.3418625,483.30300744,100,,154.64498976,264.39386532,125,140.91773282,69.043286778,12.5,,19.330623721,33.049233165,15.625,i,,,i,i,,0,563.67093126,563.67093126,760.88585978,10.658839338,83,854.54469912,131705.88529,27251.203336,,42142.62061,72050.509847,34064.00417,307214.22325,232.87371356,1907.5842335,2180.0962669,,,,,,,,,,
2023031066,2023,3,,272.51203336,,7,2,,NL,125,2017.3500454,NL,2,3,8,7,7,,,,,2,,1,,1,,2,273,19,4,3,,,,,,,,,,,,,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,202301,2,3,0,0,1,1,1600.8102441,908.05481528,184.81500578,,25,332.94042299,150,200.10128051,129.72211647,23.101875723,,3.125,41.617552874,18.75,i,i,,,i,,908.05481528,0,692.75542878,755.21812924,15.216291077,76,846.43442031,247455.86412,50364.313022,,6812.8008341,90730.271659,40876.805004,436240.05464,230.66356499,1907.5842335,2180.0962669,,,,,,,,,,
2023031067,2023,3,,154.06690029,,7,2,,DE,53,2304.6951044,DE,1,3,5,4,4,,,,,2,,1,,1,,2,261,19,4,3,,,,,,,,,,,,,1,2,,,,,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,202302,1,2,,,1,4,75,0,50,,0,0,25,15,0,10,,0,0,5,,,,,,,0,37.5,37.5,865.84766877,3.8710556681,58,927.71872444,0,7703.3450143,,0,0,3851.6725072,11555.017522,142.93074821,616.26760115,770.33450143,,,,,,,,,,
2023031069,2023,3,,272.51203336,,7,2,,NL,127,2040.3910878,NL,2,2,8,7,7,,,,,2,,1,,1,,2,261,19,4,3,,,,,,,,,,,,,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2,,,,,,,202301,2,2,,,2,4,1208.3030074,483.30300744,100,,,250,375,151.03787593,69.043286778,12.5,,,31.25,46.875,i,,,,,,783.30300744,85,340,760.88585978,3.4802382278,83,847.36609801,131705.88529,27251.203336,,,68128.008341,102192.01251,329277.10948,230.91745837,1907.5842335,2180.0962669,,,,,,,,,,
2023031070,2023,3,,272.51203336,,7,2,,NL,124,2096.568408,NL,1,3,8,7,7,,,,,2,,1,,1,,2,758,19,4,2,,,,,,,,,,,,,1,2,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,202211,4,2,,,1,5,275,0,250,0,0,0,25,34.375,0,31.25,0,0,0,3.125,,,,,,,0,110,165,775.80264164,22.716922131,97,895.51956377,0,68128.008341,0,0,0,6812.8008341,74940.809175,244.03985724,1907.5842335,2180.0962669,,,,,,,,,,
2023031072,2023,3,,154.06690029,,7,2,,DE,61,2109.2311926,DE,2,3,3,2,2,,,,,2,,2,,9,,2,261,19,4,3,,,,,,,,,,,,,1,2,,,,,1,1,1,0,0,0,0,0,0,2,,,,,,,,,4,,2,2,2,696.35130144,319.91380447,72.329573935,,90.429686892,96.041926615,117.63630952,232.11710048,159.95690224,24.109857978,,30.143228964,32.013975538,39.212103175,i,i,,i,i,i,0,,,825.27181026,3.4802382278,27.333333333,856.08538182,49288.128214,11143.593255,,13932.221553,14796.881931,18123.86157,107284.68652,131.89442116,308.13380057,462.20070086,,,,,,,,,,
2023031076,2023,3,,827.37878788,,7,3,,FR,91,2949.4727995,FR,2,2,8,7,7,,,,,2,,1,,1,,2,583,19,4,3,,,,,,,,,,,,,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,,,3,,,5,5,567.70227241,282.08409314,57.412143439,,,103.42679287,124.77924296,70.962784051,40.297727592,7.1765179298,,,12.928349108,15.59740537,i,i,,,i,i,282.08409314,,,957.68324683,25.118780175,76,1058.802027,233390.39506,47501.589648,,,85573.134515,103239.6988,469704.81802,876.03033771,5791.6515152,6619.030303,,,,,,,,,,
2023031083,2023,3,,1079.6390586,,7,1,,GB,73,1885.8883281,GB,1,3,4,3,3,,,,,2,,1,,2,,2,837,06,3,1,,,,,,,,,,,,,1,2,,,,,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,202301,2,1,,,5,5,839.79394814,3.2692479511,280.22125295,0,46.703542159,0,509.59990507,209.94848703,1.089749317,70.055313239,0,11.67588554,0,127.39997627,,,,,,,453.55565448,77.247658731,308.99063492,719.00716577,24.431250719,66,809.43841649,3529.6077802,302537.80973,0,50422.968288,0,550183.96176,906674.34756,873.90132995,3238.9171757,4318.5562343,,,,,,,,,,
2023031085,2023,3,,606.56259955,,7,2,,FR,87,2447.7359429,FR,1,2,8,7,7,,,,,2,,1,,1,,2,498,19,4,3,,,,,,,,,,,,,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,202210,5,4,,,3,4,380.5189456,110.52122695,44.451414415,,,141.52597899,84.020325249,47.5648682,15.788746707,5.5564268019,,,17.690747374,10.502540656,i,i,,,i,i,110.52122695,26.999771865,242.99794679,916.9595894,10.298410342,80.666666667,1007.9246664,67038.042723,26962.565482,,,85844.36572,50963.586898,230808.56082,611.36940581,4245.9381969,4852.5007964,,,,,,,,,,
2023031086,2023,3,,1079.6390586,,7,1,,AU,,15198.793098,AU,2,2,5,4,4,,,,,2,,2,,9,,1,049,01,1,1,,,,,,,,,,,,,1,2,,,,,0,1,0,1,0,0,1,0,0,2,,,,,,,202303,0,1,,,2,1,1830,900,600,,200,50,80,366,225,120,,40,10,16,,,,,,,0,183,1647,344.53880727,4.3109089244,86,434.8497162,971675.15271,647783.43514,,215927.81171,53981.952928,86371.124685,1975739.4772,469.48073821,4318.5562343,5398.1952928,,,,,,,,,,
